char_count,char_freq
1273,3184490604
1274,3184844728
1275,3185198801
1276,3185552786
1277,3185905330
1278,3186257810
1279,3186610091
1280,3186962358
1281,3187314099
1282,3187665325
1283,3188015856
1284,3188366166
1285,3188715863
1286,3189064567
1287,3189413088
1288,3189760336
1289,3190107312
1290,3190453691
1291,3190799354
1292,3191144296
1293,3191489198
1294,3191834022
1295,3192178445
1296,3192522708
1297,3192866734
1298,3193210554
1299,3193553942
1300,3193896385
1301,3194238827
1302,3194580902
1303,3194922181
1304,3195262654
1305,3195602904
1306,3195942969
1307,3196282404
1308,3196620995
1309,3196959356
1310,3197297592
1311,3197634453
1312,3197971006
1313,3198307158
1314,3198641689
1315,3198976164
1316,3199309649
1317,3199642540
1318,3199975044
1319,3200307335
1320,3200639451
1321,3200970085
1322,3201300447
1323,3201627461
1324,3201954466
1325,3202280894
1326,3202607315
1327,3202932538
1328,3203257165
1329,3203581325
1330,3203904983
1331,3204228549
1332,3204551583
1333,3204874526
1334,3205196711
1335,3205518864
1336,3205840577
1337,3206162189
1338,3206483599
1339,3206804941
1340,3207126097
1341,3207447219
1342,3207768162
1343,3208088860
1344,3208409388
1345,3208729713
1346,3209049703
1347,3209369647
1348,3209689214
1349,3210008747
1350,3210328177
1351,3210647582
1352,3210966705
1353,3211285725
1354,3211604115
1355,3211921920
1356,3212239533
1357,3212556995
1358,3212874254
1359,3213190956
1360,3213507445
1361,3213823668
1362,3214139153
1363,3214454561
1364,3214769221
1365,3215083859
1366,3215398391
1367,3215712725
1368,3216026432
1369,3216339887
1370,3216653212
1371,3216965520
1372,3217277455
1373,3217588317
1374,3217898335
1375,3218207360
1376,3218516379
1377,3218824909
1378,3219133272
1379,3219440768
1380,3219747895
1381,3220054881
1382,3220361635
1383,3220668151
1384,3220974350
1385,3221280391
1386,3221586062
1387,3221891634
1388,3222196779
1389,3222501723
1390,3222806444
1391,3223110579
1392,3223414438
1393,3223717572
1394,3224020667
1395,3224323385
1396,3224625700
1397,3224927782
1398,3225228742
1399,3225528901
1400,3225828781
1401,3226128165
1402,3226427520
1403,3226726587
1404,3227025584
1405,3227324144
1406,3227622661
1407,3227921118
1408,3228218796
1409,3228516115
1410,3228813269
1411,3229110110
1412,3229404843
1413,3229699479
1414,3229993319
1415,3230287133
1416,3230580901
1417,3230873780
1418,3231166589
1419,3231459158
1420,3231751692
1421,3232043285
1422,3232333320
1423,3232623259
1424,3232912747
1425,3233202069
1426,3233490735
1427,3233778851
1428,3234066745
1429,3234354152
1430,3234641098
1431,3234927837
1432,3235213455
1433,3235499043
1434,3235784247
1435,3236068706
1436,3236352991
1437,3236637006
1438,3236920803
1439,3237203999
1440,3237486475
1441,3237768613
1442,3238050444
1443,3238332117
1444,3238613586
1445,3238894930
1446,3239176033
1447,3239456818
1448,3239737527
1449,3240015508
1450,3240293346
1451,3240571038
1452,3240848450
1453,3241125454
1454,3241401882
1455,3241677292
1456,3241952049
1457,3242226547
1458,3242500807
1459,3242774904
1460,3243048321
1461,3243321423
1462,3243594445
1463,3243867126
1464,3244139594
1465,3244411697
1466,3244683798
1467,3244955754
1468,3245227683
1469,3245499611
1470,3245770761
1471,3246041772
1472,3246312434
1473,3246582882
1474,3246853283
1475,3247123652
1476,3247393468
1477,3247663162
1478,3247932707
1479,3248202136
1480,3248470963
1481,3248739350
1482,3249007665
1483,3249275400
1484,3249543014
1485,3249810598
1486,3250077630
1487,3250344072
1488,3250610399
1489,3250876173
1490,3251141385
1491,3251405707
1492,3251670022
1493,3251934083
1494,3252198060
1495,3252461922
1496,3252725454
1497,3252988874
1498,3253251706
1499,3253514512
1500,3253776932
1501,3254039172
1502,3254301203
1503,3254563230
1504,3254824453
1505,3255085201
1506,3255345656
1507,3255605507
1508,3255865339
1509,3256125044
1510,3256384535
1511,3256643942
1512,3256903186
1513,3257162207
1514,3257420769
1515,3257679223
1516,3257937644
1517,3258195900
1518,3258453974
1519,3258711602
1520,3258969000
1521,3259226112
1522,3259483127
1523,3259739176
1524,3259995116
1525,3260250819
1526,3260505740
1527,3260760414
1528,3261015016
1529,3261269088
1530,3261522739
1531,3261776272
1532,3262029397
1533,3262281754
1534,3262533741
1535,3262785182
1536,3263035425
1537,3263285507
1538,3263535539
1539,3263785480
1540,3264034585
1541,3264283596
1542,3264532443
1543,3264781061
1544,3265029549
1545,3265277956
1546,3265526265
1547,3265774526
1548,3266022691
1549,3266270494
1550,3266518159
1551,3266765303
1552,3267011828
1553,3267258132
1554,3267504011
1555,3267749669
1556,3267995274
1557,3268240730
1558,3268486159
1559,3268731385
1560,3268974896
1561,3269218282
1562,3269461589
1563,3269704593
1564,3269947571
1565,3270190155
1566,3270432666
1567,3270674571
1568,3270916131
1569,3271157323
1570,3271397899
1571,3271637893
